method,vocab_size,avg_similarity,time_per_1000,oov_percentage
naive,44333,0.9999999761581421,1.848534107208252,0.0
regex,34259,0.9178656756877899,1.1777675151824951,0.0
nltk,34769,0.9715120494365692,2.211549758911133,0.0
razdel,34478,0.9712974011898041,1.7865266799926758,0.0
nltk_porter,34750,0.9710046827793122,3.5524308681488037,0.0
nltk_snowball,17434,0.8590684294700622,5.028916835784912,0.0
spacy,34695,0.970111894607544,50.009183168411255,0.0
spacy_lem,19468,0.9241719126701355,97.26803970336914,0.0
nltk_pymorphy,17603,0.9296399593353272,18.61128258705139,0.0
